x,y,z,value
0,9,3,3.00088607027
0,9,4,3.19447431372
0,9,5,3.41221379655
0,9,6,3.17541041472
0,9,7,2.69084905953
0,9,8,2.55389406127
0,9,9,2.97540089243
0,9,10,2.8827366679
0,9,11,3.35531470616
0,10,0,1.90890442798
0,10,1,2.45352831467
0,10,2,3.1245511467
0,10,3,3.23976590554
0,10,4,3.53714512855
0,10,5,3.77136812541
0,10,6,3.66595064827
0,10,7,3.30438870071
0,10,8,3.40516043772
0,10,9,3.28283376127
0,10,10,3.58671432715
0,10,11,3.75846422316
0,11,0,2.38669023959
0,11,1,3.06784081638
0,11,2,3.81144884167
0,11,3,3.73462875607
0,11,4,3.88411697917
0,11,5,3.8170581427
0,11,6,3.68429006724
0,11,7,3.66162669956
0,11,8,3.27006208857
0,11,9,3.85676502088
0,11,10,4.0096975837
0,11,11,4.00654033958
1,0,0,-3.82428715113
1,0,1,-3.57338694649
1,0,2,-3.38352327178
1,0,3,-2.32449463554
1,0,4,-1.68391341359
1,0,5,-0.777685511463
1,0,6,-0.362581628111
1,0,7,0.249865715092
1,0,8,1.19743324483
1,0,9,2.17200038115
1,0,10,3.31773274559
1,0,11,4.08698298949
1,1,0,-3.65336562863
1,1,1,-3.46856288833
1,1,2,-2.95973246959
1,1,3,-2.5664511778
1,1,4,-1.85713957153
1,1,5,-1.35305421832
1,1,6,-0.235329782734
1,1,7,0.692110012035
1,1,8,1.80901613484
1,1,9,2.56226407645
1,1,10,3.23159165898
1,1,11,3.65022081213
1,2,0,-3.41302001152
1,2,1,-3.16003468528
1,2,2,-2.85166970306
1,2,3,-2.24796663275
1,2,4,-1.72076614039
1,2,5,-1.23912430159
1,2,6,-0.85551675462
1,2,7,1.59926938267
1,2,8,1.91466122655
1,2,9,2.26645591225
1,2,10,3.08599313157
1,2,11,3.46388122534
1,3,0,-3.45218819761
1,3,1,-3.03932460683
1,3,2,-2.67218713266
1,3,3,-2.07908388662
1,3,4,-1.79403338881
1,3,5,-1.56479145645
1,3,6,-0.48692414744
1,3,7,0.717614787103
1,3,8,1.98098961173
