x,y,z,value
0,9,8,-1.5886483973009924
0,9,9,-2.364673353175121
0,9,10,-3.137125537865161
0,9,11,-3.5360574612002478
0,10,0,3.5164901634486228
0,10,1,3.4220917843053047
0,10,2,3.1075652120209436
0,10,3,2.175046238136879
0,10,4,0.7659160413256544
0,10,5,-0.29941288983660636
0,10,6,-0.8761299856677303
0,10,7,-1.2746938676537765
0,10,8,-1.88424518685506
0,10,9,-2.775162559572767
0,10,10,-3.4490145238170387
0,10,11,-3.712580889661415
0,11,0,3.437836354595589
0,11,1,3.3613496103039315
0,11,2,3.0593254011978437
0,11,3,2.159840350309303
0,11,4,0.8780984656422606
0,11,5,-0.10777358016877826
0,11,6,-0.7549076114952784
0,11,7,-1.359275684296652
0,11,8,-2.1821840223566196
0,11,9,-3.0760129056410452
0,11,10,-3.6017135115064516
0,11,11,-3.7827488204922064
1,0,0,3.742393414748995
1,0,1,3.564236960422572
1,0,2,3.4148166668545823
1,0,3,3.2677753581390214
1,0,4,3.13770815269511
1,0,5,3.0983391358617838
1,0,6,3.141632719035036
1,0,7,3.220617888822095
1,0,8,3.286421258211581
1,0,9,3.3171910227795305
1,0,10,3.348075217739415
1,0,11,3.3738763767260087
1,1,0,3.449463976528136
1,1,1,3.2240129758715086
1,1,2,3.0890953797152028
1,1,3,3.001355772089549
1,1,4,2.900085714801522
1,1,5,2.837022619199941
1,1,6,2.8576572916888057
1,1,7,2.9430031551670943
1,1,8,3.0323780869424626
1,1,9,3.081401422610828
1,1,10,3.1152105165810724
1,1,11,3.1457186919022453
1,2,0,3.133091815865926
1,2,1,2.964549908399654
1,2,2,2.8819947328961204
1,2,3,2.8167334115768123
1,2,4,2.6876560988506184
1,2,5,2.5233819891226403
1,2,6,2.42216833232858
1,2,7,2.42795992026438
1,2,8,2.485116334326664
1,2,9,2.5201070536763273
1,2,10,2.525237322650119
1,2,11,2.538367394596198
1,3,0,2.82873005150057
1,3,1,2.793109457080248
1,3,2,2.754544029327099
1,3,3,2.6623115710810965
1,3,4,2.4582421933854666
1,3,5,2.165229112987465
1,3,6,1.8823512156775972
1,3,7,1.7190262052272536
1,3,8,1.6849913717963054
1,3,9,1.6783716887467588
1,3,10,1.6203960569611089
1,3,11,1.5847342115979615
1,4,0,2.3974614396486404
1,4,1,2.5341307940300934
1,4,2,2.552110507800679
1,4,3,2.4228815203843803
1,4,4,2.1404045513825993
1,4,5,1.736992969825129
1,4,6,1.3110412846292063
1,4,7,1.0252712591213025
1,4,8,0.911500081351086
1,4,9,0.8600626583464681
1,4,10,0.7729053829729648
1,4,11,0.7334686598300237
1,5,0,1.6685364244929557
1,5,1,1.9334452343886543
1,5,2,2.0532528108181873
1,5,3,1.9618790072102417
1,5,4,1.6635621878009037
1,5,5,1.221017653082291
1,5,6,0.7932386666945972
1,5,7,0.521275249438488
1,5,8,0.3366788896437529
1,5,9,0.18925890145469
1,5,10,0.11846415358851528
1,5,11,0.14338272363743168
1,6,0,0.812448113353865
1,6,1,1.0553498825310226
1,6,2,1.2540568113659638
1,6,3,1.2512893502321432
1,6,4,0.9682240984491174
1,6,5,0.5391109079396164
1,6,6,0.21437908156626867
1,6,7,0.01967649864113549
1,6,8,-0.2038426940801559
1,6,9,-0.44711060213233056
1,6,10,-0.5677931011830222
1,6,11,-0.5475963278731923
1,7,0,0.06318967374178942
1,7,1,0.1778890905903819
1,7,2,0.28408782399928384
1,7,3,0.2733690406668238
1,7,4,0.04186513240795259
1,7,5,-0.296020418630917
1,7,6,-0.5075330946485623
1,7,7,-0.6258235320836083
1,7,8,-0.8178783710401918
1,7,9,-1.101983292117039
1,7,10,-1.3698651987183754
1,7,11,-1.5095590038122233
1,8,0,-0.5222390675544609
1,8,1,-0.5625531563973206
1,8,2,-0.7074949622433279
1,8,3,-0.8751190044426028
1,8,4,-0.9819189760822451
1,8,5,-1.0660154957643044
1,8,6,-1.146006207379058
1,8,7,-1.2248963489847724
1,8,8,-1.400008058364833
1,8,9,-1.740585261136204
1,8,10,-2.1601548755929425
1,8,11,-2.4330507408247266
1,9,0,-1.121678873796841
1,9,1,-1.2414876392690317
1,9,2,-1.530785018501905
1,9,3,-1.806575978698888
1,9,4,-1.825442420104131
1,9,5,-1.6481764281154176
1,9,6,-1.5634535990124343
1,9,7,-1.6182813110049157
1,9,8,-1.8380244452986232
1,9,9,-2.2847439670593452
1,9,10,-2.7802446780710053
1,9,11,-3.05047266204492
1,10,0,-1.8994886860038922
1,10,1,-1.987321849737772
1,10,2,-2.20149106991222
1,10,3,-2.415544733428785
1,10,4,-2.394059890904908
1,10,5,-2.099745946545148
1,10,6,-1.8740677816462548
1,10,7,-1.8909749621980763
1,10,8,-2.1732087147595966
1,10,9,-2.6865826896522975
1,10,10,-3.1263654519789243
1,10,11,-3.3069993593648936
1,11,0,-2.574504055374164
1,11,1,-2.6075578208788106
1,11,2,-2.696590425951175
1,11,3,-2.816180383830504
1,11,4,-2.8039173662826067
1,11,5,-2.545807294298313
1,11,6,-2.2818702965267743
1,11,7,-2.264258475010894
1,11,8,-2.540341773773847
1,11,9,-2.9885117692775274
1,11,10,-3.317008618267196
1,11,11,-3.4373479606474255
